id,age,sexe,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,smoking,time,DEATH_EVENT,login,password,statut
1,75,0,0,582,0,20,1,265000,1.9,130,0,4,1,lucas,lucas,patient
2,55,1,0,7861,0,38,0,263358.03,1.1,136,0,6,1,nadeesha,nadeesha,patient
3,65,1,0,146,0,20,0,162000,1.3,129,1,7,1,lea,lea,patient
4,50,0,1,111,0,20,0,210000,1.9,137,0,7,1,leo,leo,patient
5,65,0,1,160,1,20,0,327000,2.7,116,0,8,1,marc,marc,medecin
6,90,1,1,47,0,40,1,204000,2.1,132,1,8,1,alicia,alicia,patient
7,75,1,1,246,0,15,0,127000,1.2,137,0,10,1,aminata,aminata,patient
0,60,1,1,315,1,60,0,454000,1.1,131,1,10,1,admin,admin,admin
9,65,0,0,157,0,65,0,263358.03,1.5,138,0,10,1,matthieu,matthieu,patient
10,80,1,1,123,0,35,1,388000,9.4,133,1,10,1,julie,julie,patient
11,75,1,1,81,0,38,1,368000,4,131,1,10,1,lisa,lisa,patient
12,62,0,0,231,0,25,1,253000,0.9,140,1,10,1,arnaud,arnaud,patient
13,45,1,1,981,0,30,0,136000,1.1,137,0,11,1,caroline,caroline,patient
14,50,0,1,168,0,38,1,276000,1.1,137,0,11,1,philippe,philippe,patient
15,49,1,1,80,0,30,1,427000,1,138,0,12,0,marie,marie,patient
62,,,,,,,,,,,,,,anesta,anesta,patient
21,,,,,,,,,,,,,,chancelle,chancelle,patient
78,,,,,,,,,,,,,,bea,bea,patient
67,,,,,,,,,,,,,,,0000,patient
64,,,,,,,,,,,,,,,0000,patient
66,,,,,,,,,,,,,,,0000,patient
